platId	agentId	domain	type
44	2355	153606.com	1	1
44	2359	153805.com	1	1
44	2344	153806.com	1	1
44	2352	160187.com	1	1
44	2339	160256.com	1	1
44	2314	160265.com	1	1
44	2333	160356.com	1	1
44	2345	160269.com	1	1
44	2332	160367.com	1	1
44	2350	160376.com	1	1
44	2242	160385.com	1	1
44	2343	160386.com	1	1
44	2347	160387.com	1	1
44	2326	160389.com	1	1
44	2328	160536.com	1	1
44	2330	160565.com	1	1
44	2336	160576.com	1	1
44	2335	160596.com	1	1
44	2348	160635.com	1	1
44	2327	160637.com	1	1
44	2351	160639.com	1	1
44	2341	160657.com	1	1
44	2303	160659.com	1	1
44	2338	160675.com	1	1
44	2340	160679.com	1	1
44	2325	160685.com	1	1
44	2286	160687.com	1	1
44	2324	160689.com	1	1
44	2342	160695.com	1	1
37	-1	www..baidu.com	3	1
10	-1	88bccp.com	1	1
10	-1	www.88bccp.com	1	1
10	-1	pt.88bccp.com	3	1
